Sl.,Voucher No.,Trans. Date,Value Date,Narration,Dr,Cr
1992,KO5392,7-Apr-25,7-Apr-25,CASH RECD-ICTC 216881410// RFX301IXWAJU98O//14000010000/BTK/27670.000                                                                       ,226.8,0
1993,KO5397,7-Apr-25,7-Apr-25,CASH RECD-ICTC 216881412// RFX30UTM9FWHJCO//14000010000/BTK/52241.000                                                                       ,428.2,0
1994,KO5412,7-Apr-25,7-Apr-25,CASH RECD-ICTC 216881416// RFX4137YQM89THO//14000010000/BTK/51862.000                                                                       ,425.09,0
1995,KP6935,7-Apr-25,7-Apr-25,BG FUND RECEIVED FROM MONEY MATCH  THRU THE MAURITIUS BANK USD DTD 07.                                                                      ,0,120000
1996,KQ9244,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894238// RFX6645GN1PHN68//14000010000/BTK/90222.000                                                                       ,739.52,0
1997,KQ9245,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894239// RFX30LNZ5ZUYD2K//14000010000/BTK/98367.000                                                                       ,806.28,0
1998,KQ9246,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894240// RFX41SRCUSY5CWO//14000010000/BTK/91179.000                                                                       ,747.36,0
1999,KQ9247,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894242// RFX30N9SA5NW63A//14000010000/BTK/82983.000                                                                       ,680.18,0
2000,KQ9248,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894243// RFX30913W9OP866//14000010000/BTK/98265.000                                                                       ,805.45,0
2001,KQ9249,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894244// RFX30U9KSK2MFGC//14000010000/BTK/140564.000                                                                      ,1152.16,0
2002,KQ9250,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894245// RFX41YDU5GSVWIZ//14000010000/BTK/205500.000                                                                      ,1684.42,0
2003,KQ9251,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894246// RFX30P71OVTW1EU//14000010000/BTK/370035.000                                                                      ,3033.07,0
2004,KQ9252,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894247// RFX30GOUY39P68D//14000010000/BTK/102788.000                                                                      ,842.52,0
2005,KQ9253,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894248// RFX30L4V1PVUTRK//14000010000/BTK/123345.000                                                                      ,1011.02,0
2006,KQ9258,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894250// RFX301HVYTI8OW5//14000010000/BTK/85777.000                                                                       ,703.09,0
2007,KQ9519,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894388// RFX411OW5HDOGR5//14000010000/BTK/19180.000                                                                       ,157.21,0
2008,KQ9556,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894401// RFX30GM9J11IK9Q//14000010000/BTK/36248.000                                                                       ,297.11,0
2009,KQ9557,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894402// RFX66WQKLDKWGBK//14000010000/BTK/32808.000                                                                       ,268.91,0
2010,KQ9558,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894403// RFX35W0Y3QTR7W4//14000010000/BTK/29426.000                                                                       ,241.19,0
2011,KQ9559,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894404// RFX41W1NJD0TNO2//14000010000/BTK/27440.000                                                                       ,224.91,0
2012,KQ9560,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894405// RFX411QQ09ZF3SL//14000010000/BTK/28844.000                                                                       ,236.42,0
2013,KQ9561,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894406// RFX41M0ZB3PPN59//14000010000/BTK/29910.000                                                                       ,245.16,0
2014,KQ9562,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894407// RFX30FXSD9I8C5M//14000010000/BTK/27306.000                                                                       ,223.81,0
2015,KQ9563,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894408// RFX4125JS2HLJ93//14000010000/BTK/30217.000                                                                       ,247.68,0
2016,KQ9564,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894409// RFX30ID8OSZ1BF4//14000010000/BTK/27670.000                                                                       ,226.8,0
2017,KQ9565,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894410// RFX30G6YAEPSZ5E//14000010000/BTK/27670.000                                                                       ,226.8,0
2018,KQ9566,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894411// RFX30PFHGUUS1CU//14000010000/BTK/32892.000                                                                       ,269.6,0
2019,KQ9567,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894412// RFX30FW0GZAA3V1//14000010000/BTK/32892.000                                                                       ,269.6,0
2020,KQ9568,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894413// RFX30G5YOMNEWKQ//14000010000/BTK/35426.000                                                                       ,290.37,0
2021,KQ9569,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894414// RFX35FS54B5W136//14000010000/BTK/30107.000                                                                       ,246.77,0
2022,KQ9571,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894415// RFX356H1HDF3QLT//14000010000/BTK/29834.000                                                                       ,244.54,0
2023,KQ9572,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894417// RFX89AVCH7VZ5US//14000010000/BTK/27368.000                                                                       ,224.32,0
2024,KQ9586,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894419// RFX309C6H77H5ZH//14000010000/BTK/29877.000                                                                       ,244.89,0
2025,KQ9587,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894420// RFX30HC0IDIP5WQ//14000010000/BTK/35359.000                                                                       ,289.82,0
2026,KQ9588,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894421// RFX4193GMR0QEYY//14000010000/BTK/32964.000                                                                       ,270.19,0
2027,KQ9589,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894422// RFX30CM61G53046//14000010000/BTK/27136.000                                                                       ,222.42,0
2028,KQ9590,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894423// RFX30JBSM453KZ5//14000010000/BTK/32892.000                                                                       ,269.6,0
2029,KQ9591,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894424// RFX305NZ7RCIVLI//14000010000/BTK/35359.000                                                                       ,289.82,0
2030,KQ9592,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894425// RFX30DQG4PVHAAH//14000010000/BTK/31522.000                                                                       ,258.37,0
2031,KQ9593,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894426// RFX30N9T67D7GF1//14000010000/BTK/27410.000                                                                       ,224.67,0
2032,KQ9594,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894427// RFX30JOGNBHAYRY//14000010000/BTK/35099.000                                                                       ,287.69,0
2033,KQ9595,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894428// RFX30O4Q5SMRCEZ//14000010000/BTK/35633.000                                                                       ,292.07,0
2034,KQ9596,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894430// RFX41ERDDU72KZG//14000010000/BTK/29702.000                                                                       ,243.45,0
2035,KQ9597,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894431// RFX30AGDOTRDXY1//14000010000/BTK/32618.000                                                                       ,267.36,0
2036,KQ9598,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894432// RFX30H9ITJPWZCW//14000010000/BTK/29877.000                                                                       ,244.89,0
2037,KQ9599,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894433// RFX30MQRA1GRZ13//14000010000/BTK/30014.000                                                                       ,246.01,0
2038,KQ9601,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894435// RFX30G6IH0MN6YT//14000010000/BTK/34263.000                                                                       ,280.84,0
2039,KQ9602,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894436// RFX30TLF3U23FSH//14000010000/BTK/27410.000                                                                       ,224.67,0
2040,KQ9603,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894437// RFX30PR0ZL8DC4P//14000010000/BTK/27410.000                                                                       ,224.67,0
2041,KQ9604,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894438// RFX30ES4NJJ1Q6C//14000010000/BTK/27410.000                                                                       ,224.67,0
2042,KQ9605,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894439// RFX30O0P7U9GKEC//14000010000/BTK/27410.000                                                                       ,224.67,0
2043,KQ9606,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894440// RFX30J1HQZYN9E9//14000010000/BTK/35085.000                                                                       ,287.58,0
2044,KQ9607,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894442// RFX30CV9BN86QWM//14000010000/BTK/30151.000                                                                       ,247.13,0
2045,KQ9608,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894443// RFX300XUX7OE0G1//14000010000/BTK/27410.000                                                                       ,224.67,0
2046,KQ9609,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894444// RFX30ELK4W9ZAKB//14000010000/BTK/26040.000                                                                       ,213.44,0
2047,KQ9629,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894446// RFX30J0M0Z4FEM9//14000010000/BTK/35633.000                                                                       ,292.07,0
2048,KQ9630,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894447// RFX30S17O70UPBX//14000010000/BTK/36248.000                                                                       ,297.11,0
2049,KQ9631,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894448// RFX305ZKFCJTGHE//14000010000/BTK/36248.000                                                                       ,297.11,0
2050,KQ9632,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894449// RFX30H7SU91Y2UR//14000010000/BTK/29877.000                                                                       ,244.89,0
2051,KQ9633,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894450// RFX41DLBZ2M8XVL//14000010000/BTK/29942.000                                                                       ,245.42,0
2052,KQ9635,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894452// RFX3014VZX0E5BI//14000010000/BTK/35497.000                                                                       ,290.95,0
2053,KQ9636,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894453// RFX66AMHJR1AQKP//14000010000/BTK/30003.000                                                                       ,245.92,0
2054,KQ9637,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894454// RFX4114GNDHBX5U//14000010000/BTK/35711.000                                                                       ,292.71,0
2055,KQ9638,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894455// RFX666BL2CX71QF//14000010000/BTK/31179.000                                                                       ,255.56,0
2056,KQ9639,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894456// RFX30G8J7AP8ZJU//14000010000/BTK/32767.000                                                                       ,268.58,0
2057,KQ9640,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894457// RFX661OHA6RQ7DZ//14000010000/BTK/35282.000                                                                       ,289.19,0
2058,KQ9641,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894458// RFX419N3WUQGKRO//14000010000/BTK/27440.000                                                                       ,224.91,0
2059,KQ9642,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894459// RFX41SHSXI4TGN1//14000010000/BTK/32654.000                                                                       ,267.65,0
2060,KQ9644,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894464// RFX41P102HCYJ98//14000010000/BTK/21952.000                                                                       ,179.93,0
2061,KQ9686,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894467// RFX30K1JYTO2PTS//14000010000/BTK/68170.000                                                                       ,560.28,0
2062,KQ9687,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894468// RFX30TJJ4CQYKKK//14000010000/BTK/73624.000                                                                       ,605.11,0
2063,KQ9702,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894473// RFX66XDSFB7NEVD//14000010000/BTK/31179.000                                                                       ,255.56,0
2064,KQ9716,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894484// RFX66H9NUP31D64//14000010000/BTK/30085.000                                                                       ,246.59,0
2065,KQ9782,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894511// RFX6601AF6MU412//14000010000/BTK/29833.000                                                                       ,244.53,0
2066,KQ9796,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894515// RFX661W3WYEFKIK//14000010000/BTK/29560.000                                                                       ,242.29,0
2067,KQ9797,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894517// RFX66PSVQSLR4B5//14000010000/BTK/29833.000                                                                       ,244.53,0
2068,KQ9798,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894518// RFX66I74QXEH9IF//14000010000/BTK/24633.000                                                                       ,201.9,0
2069,KQ9856,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894530// RFX41M8GO7RXK12//14000010000/BTK/35424.000                                                                       ,290.36,0
2070,KQ9870,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894533// RFX66J33HXKVGWV//14000010000/BTK/32820.000                                                                       ,269.01,0
2071,KQ9892,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894537// RFX30FQ149KSIOF2//14000010000/BTK/42557.000                                                                      ,348.82,0
2072,KQ9917,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894546// RFX89J34GMK4Z0P//14000010000/BTK/88398.000                                                                       ,726.53,0
2073,KQ9953,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894555// RFX66VBLTN9LRZM//14000010000/BTK/24615.000                                                                       ,201.76,0
2074,KQ9958,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894558// RFX411KNNRAGI22//14000010000/BTK/20343.000                                                                       ,166.74,0
2075,KQ9963,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894560// RFX693TYU1X2VG8//14000010000/BTK/20453.000                                                                       ,167.64,0
2076,KQ9964,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894561// RFX41M1S7PGWTN0//14000010000/BTK/36004.000                                                                       ,295.11,0
2077,KQ9966,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894565// RFX35FQ8D6K0BGT//14000010000/BTK/31225.000                                                                       ,255.94,0
2078,KQ9973,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894566// RFX30Q199YZ0WYF//14000010000/BTK/35385.000                                                                       ,290.04,0
2079,KR0077,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894578// RFX30QZJM8VGL7L2//14000010000/BTK/50024.000                                                                      ,410.03,0
2080,KR0145,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894592// RFX41VO5T7T8Z6M//14000010000/BTK/21694.000                                                                       ,177.81,0
2081,KR0147,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894594// RFX41KU2I0G2G1I//14000010000/BTK/13456.000                                                                       ,110.29,0
2082,KR0168,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894597// RFX3207NORY4QQD//14000010000/BTK/14748.000                                                                       ,120.88,0
2083,KR0300,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894616// RFX3079FQYELKZU//14000010000/BTK/36208.000                                                                       ,296.78,0
2084,KR0301,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894617// RFX66JDSKR0OWCJ//14000010000/BTK/30085.000                                                                       ,246.59,0
2085,KR0303,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894619// RFX668U6C4Q83N9//14000010000/BTK/31015.000                                                                       ,254.22,0
2086,KR0352,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894627// RFX30SKDAJKNS4N//14000010000/BTK/30004.000                                                                       ,245.93,0
2087,KR0397,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894632// RFX35ELUXOSZKSZ//14000010000/BTK/75946.000                                                                       ,624.19,0
2088,KR0481,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894644// RFX41D3RB8R9GNK//14000010000/BTK/21968.000                                                                       ,180.06,0
2089,KR0488,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894651// RFX669XJ98H1CEA//14000010000/BTK/27077.000                                                                       ,221.94,0
2090,KR0528,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894657// RFX413CXI3B513L//14000010000/BTK/16010.000                                                                       ,131.22,0
2091,KR0794,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894758// RFX4195F8N75AUD//14000010000/BTK/29997.000                                                                       ,245.87,0
2092,KR1228,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894867// RFX30VN1ZXCIX75//14000010000/BTK/29877.000                                                                       ,244.89,0
2093,KR1254,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894880// RFX66MMAO66YFW7//14000010000/BTK/35555.000                                                                       ,291.43,0
2094,KR1405,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894950// RFX30H6F4H47S2V2//14000010000/BTK/129059.000                                                                     ,1057.86,0
2095,KR1498,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894970// RFX302I3DX4ZXC9//14000010000/BTK/43721.000                                                                       ,358.36,0
2096,KR1499,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216894973// RFX41E0DC88MRYU//14000010000/BTK/90618.000                                                                       ,742.77,0
2097,KR1605,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216895057// RFX69U9C6OH2XQC//14000010000/BTK/29297.000                                                                       ,240.13,0
2098,KR1754,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216895127// RFX66SPKVD05VGN//14000010000/BTK/27350.000                                                                       ,224.18,0
2099,KR1998,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216895228// RFX41DWNXJ3YWIO//14000010000/BTK/30239.000                                                                       ,247.86,0
2100,KR2035,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216895233// RFX30UZ6V17YFSN//14000010000/BTK/30173.000                                                                       ,247.31,0
2101,KR2095,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216895265// RFX664FP8SZC4IJ//14000010000/BTK/27350.000                                                                       ,224.18,0
2102,KR2187,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216895308// RFX89ILG7K1RAF4//14000010000/BTK/27121.000                                                                       ,222.3,0
2103,KR2265,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216895334// RFX660UI8RQAV68//14000010000/BTK/28718.000                                                                       ,235.39,0
2104,KR2533,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216895457// RFX30S17LIVB4ZF//14000010000/BTK/29488.000                                                                       ,241.7,0
2105,KR2882,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216895633// RFX89P8KGXGS27M//14000010000/BTK/134808.000                                                                      ,1107.98,0
2106,KR3504,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216895865// RFX69HFKXJHZLPX//14000010000/BTK/20262.000                                                                       ,166.08,0
2107,KR3979,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216896065// RFX41XDMC9U302M//14000010000/BTK/34325.000                                                                       ,279.06,0
2108,KR4076,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216896125// RFX66U4CIEJ5JJV//14000010000/BTK/27077.000                                                                       ,220.13,0
2109,KR4168,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216896166// RFX306WRWYRLKV3//14000010000/BTK/21944.000                                                                       ,178.4,0
2110,KR4320,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216896245// RFX30QKXPFDROZ3//14000010000/BTK/31271.000                                                                       ,254.23,0
2111,KR4642,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216896403// RFX30JHWS8LAB5F//14000010000/BTK/30036.000                                                                       ,244.19,0
2112,KR5215,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216896714// RFX66B622822NBR//14000010000/BTK/31729.000                                                                       ,257.95,0
2113,KR5390,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216896801// RFX30A8ME7H7J2I//14000010000/BTK/34288.000                                                                       ,278.76,0
2114,KR5398,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216896817// RFX30EL147P7ZBJ//14000010000/BTK/17693.000                                                                       ,143.84,0
2115,KR5509,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216896867// RFX41WF9DA3QTV6//14000010000/BTK/32963.000                                                                       ,267.99,0
2116,KR5606,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216896938// RFX41FXL61WYTRY//14000010000/BTK/34663.000                                                                       ,281.81,0
2117,KR5714,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216896980// RFX41X5LG6BGEKZ//14000010000/BTK/21670.000                                                                       ,176.17,0
2118,KR6163,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216897178// RFX30VH71BGYJ1I//14000010000/BTK/35633.000                                                                       ,289.69,0
2119,KR6173,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216897190// RFX662ANA9DWVK5//14000010000/BTK/30349.000                                                                       ,246.73,0
2120,KR6247,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216897200// RFX306O4P1RI7T4//14000010000/BTK/35633.000                                                                       ,289.69,0
2121,KR6414,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216897260// RFX35R6033QR56K//14000010000/BTK/22132.000                                                                       ,179.93,0
2122,KR6540,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216897325// RFX411G95L0XMUS//14000010000/BTK/15014.000                                                                       ,122.06,0
2123,KR6605,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216897345// RFX30HRFUJMTLEM//14000010000/BTK/260585.000                                                                      ,2118.57,0
2124,KR6627,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216897357// RFX66E10MD49W0H//14000010000/BTK/57855.000                                                                       ,470.36,0
2125,KR6703,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216897383// RFX30OTHYIB7G8C//14000010000/BTK/32928.000                                                                       ,267.7,0
2126,KR6709,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216897388// RFX416P89HGGMRX//14000010000/BTK/294473.000                                                                      ,2394.08,0
2127,KR6710,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216897393// RFX41V2J1MI6T5U//14000010000/BTK/55300.000                                                                       ,449.59,0
2128,KR6723,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216897412// RFX66B7XN29PJNJ//14000010000/BTK/66120.000                                                                       ,537.56,0
2129,KR6724,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216897415// RFX66A4633Y2PZ9//14000010000/BTK/65725.000                                                                       ,534.34,0
2130,KR6840,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216897477// RFX89Z9ON6QLETC//14000010000/BTK/33240.000                                                                       ,270.24,0
2131,KR7125,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216897571// RFX302MJMXST5PJ//14000010000/BTK/96845.000                                                                       ,787.35,0
2132,KR7131,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216897581// RFX66ZMFS5IWK4Z//14000010000/BTK/52345.000                                                                       ,425.56,0
2133,KR7133,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216897589// RFX66ZMAB2L9PKY//14000010000/BTK/50003.000                                                                       ,406.52,0
2134,KR7134,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216897590// RFX665P8BUQYG1W//14000010000/BTK/40223.000                                                                       ,327.01,0
2135,KR7165,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216897618// RFX41I4SX5586FT//14000010000/BTK/40093.000                                                                       ,325.95,0
2136,KR7254,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216897636// RFX35OBY1VD0XVL//14000010000/BTK/50011.000                                                                       ,406.59,0
2137,KR7272,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216897651// RFX1027Q3Z8C6HSD//14000010000/BTK/55332.000                                                                      ,449.85,0
2138,KR7418,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216897726// RFX66CCUW7V14IH//14000010000/BTK/41325.000                                                                       ,335.97,0
2139,KR7598,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216897812// RFX66QKR5OWT2C7//14000010000/BTK/33060.000                                                                       ,268.78,0
2140,KR7711,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216897911// RFX66SIBALM6T3U//14000010000/BTK/60610.000                                                                       ,492.76,0
2141,KR7712,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216897912// RFX66BNTNE0AOJE//14000010000/BTK/274949.000                                                                      ,2235.35,0
2142,KR7784,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216897923// RFX30ZRD3GSBIHG//14000010000/BTK/180271.000                                                                      ,1465.61,0
2143,KR7786,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216897925// RFX666UJOXF6MYS//14000010000/BTK/40013.000                                                                       ,325.3,0
2144,KR7854,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216897954// RFX41FPYNG1AQ2A//14000010000/BTK/45623.000                                                                       ,370.91,0
2145,KR7856,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216897965// RFX66PA0DK6MZQ7//14000010000/BTK/104225.000                                                                      ,847.35,0
2146,KR7871,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216897983// RFX30YTAXKEA591//14000010000/BTK/25180.000                                                                       ,204.71,0
2147,KR7893,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216898017// RFX30CHK6XF57MB//14000010000/BTK/49806.000                                                                       ,404.92,0
2148,KR7951,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216898039// RFX41NY4QVJ0YST//14000010000/BTK/43856.000                                                                       ,356.55,0
2149,KR7953,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216898046// RFX41YN85RPT5YV//14000010000/BTK/73733.000                                                                       ,599.45,0
2150,KR7973,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216898065// RFX410V5K78SNJX//14000010000/BTK/101713.000                                                                      ,826.93,0
2151,KR8024,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216898072// RFX41WXC05F4HG2//14000010000/BTK/76748.000                                                                       ,623.96,0
2152,KR8029,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216898078// RFX6604SCXE4CE2//14000010000/BTK/136750.000                                                                      ,1111.78,0
2153,KR8031,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216898085// RFX30F8DC8K9ZE5//14000010000/BTK/54492.000                                                                       ,443.02,0
2154,KR8033,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216898090// RFX66V5Z97QALSJ//14000010000/BTK/109040.000                                                                      ,886.5,0
2155,KR8034,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216898092// RFX30Y1UDKR2IKD//14000010000/BTK/13980.000                                                                       ,113.65,0
2156,KR8042,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216898101// RFX30VVX31PTQZ9//14000010000/BTK/30448.000                                                                       ,247.54,0
2157,KR8054,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216898112// RFX41154W0XH8P1//14000010000/BTK/50435.000                                                                       ,410.04,0
2158,KR8117,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216898137// RFX307WGOF659J9//14000010000/BTK/24413.000                                                                       ,198.47,0
2159,KR8139,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216898159// RFX30ITB9EACL8U//14000010000/BTK/30437.000                                                                       ,247.45,0
2160,KR8145,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216898168// RFX89GOCCWTK483//14000010000/BTK/20028.000                                                                       ,162.82,0
2161,KR8162,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216898182// RFX30CUAJWBHH3N//14000010000/BTK/35971.000                                                                       ,292.44,0
2162,KR8235,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216898189// RFX3069DDXBQFPI//14000010000/BTK/90519.000                                                                       ,735.92,0
2163,KR8246,8-Apr-25,8-Apr-25,CASH RECD-ICTC 216898196// RFX66DCBAQE7FQ7//14000010000/BTK/30085.000                                                                       ,244.59,0
